=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-30_21-5-59
====================================================================================
21:5:59 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
21:5:59 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
21:5:59 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
21:5:59 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
21:5:59 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
21:5:59 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
21:5:59 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
21:5:59 | [PermissionManager] Perm (MenuBansManager) has been registered!
21:5:59 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
21:5:59 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
21:5:59 | [PermissionManager] Perm (MenuWebHooks) has been registered!
21:5:59 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
21:5:59 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
21:5:59 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
21:5:59 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
21:5:59 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
21:5:59 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
21:5:59 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
21:5:59 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
21:5:59 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
21:5:59 | Building Sets Loaded: 0
21:5:59 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
21:5:59 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
21:5:59 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
21:5:59 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
21:5:59 | [PermissionManager] Adding Super Admin (76561198966041256)
21:5:59 | [PermissionManager] Adding Super Admin (76561198339876709)
21:5:59 | [PermissionManager] Adding Super Admin (76561199061045416)
21:5:59 | [PermissionManager] Loaded UserGroups.json
21:5:59 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
21:8:19 | Player "AngelParadise" (steamId=76561198199313275) connected to server!
21:8:28 | Player "AngelParadise" (steamId=76561198199313275) connected to server!
21:8:35 | Player "LwShutt" (steamId=76561199378753491) connected to server!
21:8:52 | Player "LwShutt" (steamId=76561199378753491) connected to server!
21:42:17 | Player "alentejano" (steamId=76561198382122476) connected to server!
22:11:42 | Player "alentejano" (steamId=76561198382122476) disconnected from server.
22:11:43 | Player "alentejano" (steamId=76561198382122476) disconnected from server.
0:18:25 | Player "eretushasvezs" (steamId=76561198806989017) connected to server!
0:21:34 | Player "eretushasvezs" (steamId=76561198806989017) disconnected from server.
0:21:36 | Player "eretushasvezs" (steamId=76561198806989017) disconnected from server.
1:33:36 | Player "LwShutt" (steamId=76561199378753491) disconnected from server.
1:33:38 | Player "LwShutt" (steamId=76561199378753491) disconnected from server.
1:34:55 | Player "AngelParadise" (steamId=76561198199313275) disconnected from server.
1:35:0 | Player "AngelParadise" (steamId=76561198199313275) disconnected from server.
2:39:17 | Player "LwShutt" (steamId=76561199378753491) connected to server!
2:39:28 | Player "LwShutt" (steamId=76561199378753491) connected to server!
3:3:0 | Player "LwShutt" (steamId=76561199378753491) disconnected from server.
