=========================Vanilla++ Admin Tools Session Logs=========================
Logs Started: 2022-9-8_12-6-20
====================================================================================
12:6:20 | [PermissionManager] Perm (DeleteObjectAtCrosshair) has been registered!
12:6:20 | [PermissionManager] Perm (MenuPermissionsEditor) has been registered!
12:6:20 | [PermissionManager] Perm (PermissionsEditor:RemoveUser) has been registered!
12:6:20 | [PermissionManager] Perm (PermissionsEditor:AddUser) has been registered!
12:6:20 | [PermissionManager] Perm (PermissionsEditor:CreateUserGroup) has been registered!
12:6:20 | [PermissionManager] Perm (PermissionsEditor:DeleteUserGroup) has been registered!
12:6:20 | [PermissionManager] Perm (PermissionsEditor:ChangePermLevel) has been registered!
12:6:20 | [PermissionManager] Perm (MenuPlayerManager) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:GiveGodmode) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:BanPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:KickPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:HealPlayers) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:SetPlayerStats) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:KillPlayers) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:GodMode) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:SpectatePlayer) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:TeleportToPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:TeleportPlayerTo) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:SetPlayerInvisible) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:SendMessage) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:GiveUnlimitedAmmo) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:MakePlayerVomit) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:FreezePlayers) has been registered!
12:6:20 | [PermissionManager] Perm (PlayerManager:ChangeScale) has been registered!
12:6:20 | [PermissionManager] Perm (MenuBansManager) has been registered!
12:6:20 | [PermissionManager] Perm (BansManager:UnbanPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (BansManager:UpdateBanDuration) has been registered!
12:6:20 | [PermissionManager] Perm (BansManager:UpdateBanReason) has been registered!
12:6:20 | [PermissionManager] Perm (MenuWebHooks) has been registered!
12:6:20 | [PermissionManager] Perm (MenuWebHooks:Create) has been registered!
12:6:20 | [PermissionManager] Perm (MenuWebHooks:Edit) has been registered!
12:6:20 | [PermissionManager] Perm (MenuWebHooks:Delete) has been registered!
12:6:20 | [PermissionManager] Perm (MenuTeleportManager) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:ViewPlayerPositions) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:TPPlayers) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:TPSelf) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:DeletePreset) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:AddNewPreset) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:EditPreset) has been registered!
12:6:20 | [PermissionManager] Perm (TeleportManager:TeleportEntity) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:DeleteObjects) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:PlayerESP) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:RestPasscodeFence) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:RetriveCodeFromObj) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:PlayerMeshEsp) has been registered!
12:6:20 | [PermissionManager] Perm (EspToolsMenu:InstantBaseBuild) has been registered!
12:6:20 | [PermissionManager] Perm (MenuXMLEditor) has been registered!
12:6:20 | [PermissionManager] Perm (MenuCommandsConsole) has been registered!
12:6:20 | [WeatherManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/WeatherManager/WeatherSettingsPresets.json
12:6:20 | [SteamAPIManager] ERROR No steam API key configured, and or key is invalid.
12:6:20 | [PermissionManager] Adding Super Admin (76561198966041256)
12:6:20 | [PermissionManager] Adding Super Admin (76561198339876709)
12:6:20 | [PermissionManager] Adding Super Admin (76561199061045416)
12:6:20 | [PermissionManager] Loaded UserGroups.json
12:6:20 | [BansManager]:: Load(): Loading ban list Json File $profile:VPPAdminTools/BanList.json
12:6:20 | Building Sets Loaded: 0
12:6:20 | [TimeManager] Loading Json File $profile:VPPAdminTools/ConfigurablePlugins/TimeManager/TimeSettingsPresets.json
12:6:20 | [PermissionManager] Perm (Chat:StripPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:KillPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:HealPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:BringPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:ReturnPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:GotoPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:UnbanPlayer) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:TeleportToTown) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:TeleportToPoint) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:GiveAmmo) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:SpawnInventory) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:SpawnOnGround) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:SpawnInHands) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:SpawnCar) has been registered!
12:6:20 | [PermissionManager] Perm (Chat:refuelCar) has been registered!
12:7:11 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) connected to server!
12:7:18 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) connected to server!
13:24:25 | Player "L3Dgamer" (steamId=76561199275455124) connected to server!
13:25:26 | Player "L3Dgamer" (steamId=76561199275455124) connected to server!
14:18:18 | Player "L3Dgamer" (steamId=76561199275455124) disconnected from server.
14:19:31 | Player "L3Dgamer" (steamId=76561199275455124) connected to server!
14:19:46 | Player "L3Dgamer" (steamId=76561199275455124) connected to server!
14:27:57 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) connected to server!
14:28:10 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) connected to server!
14:42:7 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) disconnected from server.
14:42:9 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) disconnected from server.
14:45:17 | Player "L3Dgamer" (steamId=76561199275455124) disconnected from server.
14:56:51 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) connected to server!
14:56:58 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) connected to server!
15:10:47 | Player "[OST] Teppo" (steamId=76561198876649341) connected to server!
15:11:47 | Player "[OST] Teppo" (steamId=76561198876649341) connected to server!
15:14:56 | Player "[U.S.A] TIOSNIPER999" (steamId=76561198351989993) disconnected from server.
15:15:20 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) disconnected from server.
15:15:24 | Player "[U.S.A] SOBRAL " (steamId=76561199147153525) disconnected from server.
15:18:47 | Player "[OST] Teppo" (steamId=76561198876649341) disconnected from server.
15:18:48 | Player "[OST] Teppo" (steamId=76561198876649341) disconnected from server.
